1,62,1.0
2,382,5.8
3,148,0.6
4,438,1.4
5,155,3.5
6,240,3.3
7,448,1.3
8,100,3.4
9,145,0.2
10,78,2.8
11,951,6.6
12,285,2.5
13,907,6.7
14,347,1.8
15,115,2.4
16,386,0.9
17,170,0.9
18,221,1.0
19,552,4.9
20,19,2.3
21,235,0.8
22,64,1.2
23,279,2.1
24,36,0.5
25,775,2.7
26,300,1.2
27,184,3.1
28,98,3.7
29,121,0.5
30,76,2.0
31,65,1.1
32,172,2.3
33,448,0.6
34,109,3.9
35,149,3.0
36,304,3.3
37,324,1.2
38,303,0.4
39,98,9.4
40,184,0.9
41,819,3.6
42,296,0.3
43,298,0.7
44,131,1.0
45,151,1.2
46,421,0.2
47,468,0.9
48,199,6.5
49,423,0.3
50,434,2.0
51,211,3.1
52,395,1.1
53,562,3.2
54,189,2.5
55,185,1.5
56,309,1.4
57,106,0.7
58,56,0.1
59,589,6.7
60,584,5.2
61,537,4.5
62,334,0.4
63,485,1.4
64,85,0.7
65,344,0.4
66,468,0.9
67,316,3.4
68,283,1.7
69,457,0.3
70,116,2.9
71,251,2.8
72,614,4.6
73,212,2.5
74,223,6.3
75,945,3.0
76,391,3.3
77,174,1.9
78,202,3.0
79,474,0.4
80,204,3.2
81,441,1.2
82,120,0.2
83,106,0.1
84,257,2.0
85,253,2.3
86,265,2.0
87,90,2.9
88,196,2.7
89,228,2.3
90,15,2.5
91,221,3.2
92,38,2.4
93,276,5.5
94,496,0.5
95,155,3.1
96,134,0.7
97,57,0.9
98,274,0.4
99,408,0.1
10,157,6.8
